Date,Country,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
20210713,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 1,2308,"",151991,"",16 years and over
20210713,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 2,113,"",16749,"",16 years and over
20210713,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 1,3774,"",1672316,"",16 years and over
20210713,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 2,5601,"",1004340,"",16 years and over
20210713,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 1,466,"",2127809,"",16 years and over
20210713,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 2,5830,"",1898222,"",16 years and over
20210713,S92000003,Total,4549217,Dose 1,6548,"",3952116,"",16 years and over
20210713,S92000003,Total,4439078,Dose 1,6493,0.146269112640057,3941518,88.7913661350398,18 years and over
20210713,S92000003,Total,2875396,Dose 1,546,0.0189886888623341,2809899,97.7221572263438,40 years and over
20210713,S92000003,Total,4549217,Dose 2,11544,"",2919311,"",16 years and over
20210713,S92000003,Total,4439078,Dose 2,11392,0.256629867733795,2912797,65.6171619421871,18 years and over
20210713,S92000003,Total,2875396,Dose 2,8245,0.286743112948616,2545160,88.5151123532202,40 years and over
20210714,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 1,2149,"",154140,"",16 years and over
20210714,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 2,88,"",16837,"",16 years and over
20210714,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 1,5170,"",1677486,"",16 years and over
20210714,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 2,5945,"",1010285,"",16 years and over
20210714,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 1,486,"",2128295,"",16 years and over
20210714,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 2,7102,"",1905324,"",16 years and over
20210714,S92000003,Total,4549217,Dose 1,7805,"",3959921,"",16 years and over
20210714,S92000003,Total,4439078,Dose 1,7753,0.174653385229996,3949271,88.9660195202697,18 years and over
20210714,S92000003,Total,2875396,Dose 1,615,0.0213883583339477,2810514,97.7435455846777,40 years and over
20210714,S92000003,Total,4549217,Dose 2,13135,"",2932446,"",16 years and over
20210714,S92000003,Total,4439078,Dose 2,12961,0.291975045268409,2925758,65.9091369874555,18 years and over
